City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
346,sumkino,58.1108,68.3244,-25.57,100,89,1.35,RU,1675811742
347,petropavlovka,50.6114,105.3196,-23.91,99,68,1.34,RU,1675811743
348,klaksvik,62.2266,-6.589,8.51,85,100,24.43,FO,1675811748
349,kavaratti,10.5669,72.642,26.52,71,97,5.4,IN,1675811751
350,tual,-5.6667,132.75,27.77,77,100,10.11,ID,1675811751
351,mamakan,57.8161,114.0028,-22.84,99,100,0.18,RU,1675811754
352,chilca,-12.5211,-76.7372,23.93,82,7,2.69,PE,1675811754
353,garowe,8.4054,48.4845,18.84,88,19,3.67,SO,1675811755
354,coseiu,47.3167,22.9833,-4.04,90,98,0.98,RO,1675811755
355,berlevag,70.8578,29.0864,1.97,69,48,13.38,NO,1675811756
356,waingapu,-9.6567,120.2641,25.92,86,99,3.43,ID,1675811756
357,padrauna,26.9025,83.9819,13.29,77,0,1.32,IN,1675811756
358,cantagalo,-21.9811,-42.3681,21.26,98,100,0.83,BR,1675811757
359,dzhebariki-khaya,62.2167,135.8,-45.33,100,100,0.5,RU,1675811757
360,eureka,40.8021,-124.1637,15.9,63,52,1.34,US,1675811636
361,sambava,-14.2667,50.1667,23.83,89,85,3.45,MG,1675811758
362,arlit,18.7369,7.3853,23.95,13,100,2.7,NE,1675811758
363,bonavista,48.6499,-53.1147,-5.19,67,100,9.34,CA,1675811759
364,huanuco,-9.9329,-76.2415,21.22,69,51,3.34,PE,1675811759
365,adrar,20.5022,-10.0711,16.57,21,93,4.89,MR,1675811759
366,vila do maio,15.1333,-23.2167,20.44,67,4,9.0,CV,1675811760
367,balikpapan,-1.2675,116.8289,24.55,88,20,1.54,ID,1675811760
368,saint-augustin,51.226,-58.6502,-19.67,86,1,1.83,CA,1675811760
369,galatista,40.4667,23.2833,-0.6,54,7,0.45,GR,1675811761
370,danville,36.586,-79.395,14.36,45,0,2.06,US,1675811761
371,touros,-5.1989,-35.4608,26.6,67,70,7.15,BR,1675811762
372,shimoda,34.6667,138.95,8.95,76,89,2.69,JP,1675811763
373,bambanglipuro,-7.95,110.2833,23.29,95,100,1.72,ID,1675811763
374,nome,64.5011,-165.4064,-18.96,78,0,1.54,US,1675811764
375,key west,24.5557,-81.7826,26.0,70,0,7.2,US,1675811519
376,lahij,13.1667,44.5833,20.85,66,10,1.36,YE,1675811768
377,sikonge,-5.6333,32.7667,17.39,92,66,1.26,TZ,1675811768
378,tooele,40.5308,-112.2983,3.07,68,65,0.98,US,1675811769
379,port blair,11.6667,92.75,24.56,75,30,4.31,IN,1675811770
380,rabo de peixe,37.8,-25.5833,12.73,82,20,7.2,PT,1675811732
381,isangel,-19.55,169.2667,29.06,89,100,1.03,VU,1675811770
382,saldanha,-33.0117,17.9442,18.23,88,29,8.4,ZA,1675811774
383,huilong,31.8111,121.655,4.96,91,99,3.47,CN,1675811775
384,lucapa,-8.4192,20.7447,19.03,90,100,1.39,AO,1675811776
385,ballyhaunis,53.7667,-8.7667,3.73,96,53,2.72,IE,1675811776
386,talaya,61.3833,152.75,-40.23,99,100,0.48,RU,1675811777
387,nevel,56.0209,29.9284,-4.18,93,100,2.68,RU,1675811777
388,bumbuna,9.05,-11.7333,23.43,60,87,1.47,SL,1675811788
389,lahaina,20.8783,-156.6825,26.64,87,3,4.37,US,1675811794
390,zaozhuang,34.8647,117.5542,4.07,81,100,2.4,CN,1675811794
391,byron bay,-28.65,153.6167,23.86,63,97,3.12,AU,1675811800
392,alyangula,-13.8483,136.4192,29.11,68,100,1.69,AU,1675811801
393,ahipara,-35.1667,173.1667,21.35,59,97,3.3,NZ,1675811801
394,labytnangi,66.6572,66.4183,-17.19,95,100,4.85,RU,1675811801
395,ilawa,53.596,19.5685,-1.19,81,99,1.52,PL,1675811802
